,Embedding,Texto,Keywords Pregunta
0,[0.01558  0.0434   0.002253 ... 0.0331   0.00789  0.008095],"Cilleruelo de San Mamés es un municipio y localidad española de la provincia de Segovia, en la comunidad autónoma de Castilla y León. Cuenta con una población de 35 habitantes (INE 2024).La iglesia de San Mamés es un edificio religioso situado en el municipio español de Cilleruelo de San Mamés,[1]​ en la provincia de Segovia. Está declarado como bien de interés cultural desde 1994.[2]​[3]​[4]​[5]​",¿Dónde está ubicado Cilleruelo de San Mamés?
1,[-0.0596    0.00797   0.0273   ... -0.01219  -0.03625   0.001429],"Gampel-Bratsch es una comuna suiza del cantón del Valais, situada en el distrito de Leuk. Limita al norte con la comuna de Ferden, al este con Steg-Hohtenn y Niedergesteln, al sur con Turtmann, y al oeste con Leuk y Erschmatt.
La comuna fue creada el 1 de enero de 2009 de la fusión de las antiguas comunas de Gampel y Bratsch. La fusión fue decidida por el cuerpo electoral de las dos comunas el 20 de enero de 2008.La estación de Gampel-Steg es la principal estación ferroviaria de la comuna suiza de Steg-Hohtenn, en el Cantón del Valais.",¿Cuándo fue creada la comuna suiza Gampel-Bratsch?
2,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],,¿Cuál es el único continente en el que habitan los corvinos negros (Corcorax melanorhamphos)?
3,[-0.05713  -0.01799  -0.0924   ... -0.0202   -0.006657  0.014145],"Este artículo trata sobre las Tarjetas flash, para la definición estándar de televisión, véase SD (definición estándar)

Secure Digital (SD) es un dispositivo en formato de tarjeta de memoria para dispositivos portátiles, por ejemplo: cámaras digitales (fotográficas o videograbadoras), teléfonos móviles, teléfonos inteligentes, computadoras portátiles y videoconsolas (de sobremesa y portátiles), tabletas y entre muchos otros. Inicialmente compitió y coexistió con otros formatos, y actualmente es uno de los formatos más comunes y utilizados en dispositivos portátiles y en computadoras y reproductores de música portátiles o domésticos, destacando principalmente por la velocidad a diferencia de sus predecesores.
El estándar SD fue desarrollado por SanDisk, Panasonic y Toshiba, e introducido en 1999 como una mejora evolutiva de las tarjetas MMC. El estándar es mantenido por la Asociación de Tarjetas SD en la que participan varios fabricantes[1]​ y fue implementado en más de 400 marcas de productos, cubriendo docenas de categorías y en más de 8000 modelos.
El formato SD incluye cinco versiones de tarjetas, disponibles en tres tamaños. Las cinco familias son:

“Standard Capacity” (SDSC), la original, «capacidad estándar».
“High Capacity” (SDHC), «alta capacidad».
“Extended Capacity” (SDXC), «capacidad extendida».
“Input/Output” (SDIO), «entrada/salida».
“Ultra Capacity” (SDUC), «Ultra Capacidad».
Los tres tamaños son:

SD estándar original.
miniSD.
microSD.
Este tamaño microSD es muy utilizado en tabletas y teléfonos móviles. Por medio de adaptadores pasivos eléctricamente es posible utilizar tarjetas en ranuras más grandes.
Los dispositivos con ranuras SD pueden utilizar tarjetas MMC, que son más finas, pero las tarjetas SD no caben en las ranuras MMC. Asimismo, se pueden utilizar en las ranuras de CompactFlash o de PC Card con un adaptador. Sus variantes miniSD y microSD se pueden utilizar, también directamente, en ranuras SD mediante un adaptador. Las normales tienen forma de ם. Hay algunas tarjetas SD que tienen un conector USB integrado con un doble propósito, y hay lectores que permiten que las tarjetas SD sean accesibles por medio de muchos puertos de conectividad como USB, FireWire y el puerto paralelo común. Las tarjetas SD también son accesibles mediante una disquetera usando un adaptador FlashPath.",¿Qué significa la abreviatura IOMMU?
4,[ 0.007027  -0.0258    -0.0704    ... -0.0008025  0.04984   -0.0529   ],"La Copa de Clubes de Asia de 1997 fue la 16.ª edición del torneo de fútbol más importante a nivel de clubes de Asia organizado por la AFC.
El Pohang Steelers de Corea del Sur venció en la final al entonces campeón defensor Cheonan Ilhwa Chunma también de Corea del Sur para ser campeón del torneo por primera occasión.La Copa de Clubes de Asia de 1998 fue la 17.ª edición del torneo de fútbol a nivel de clubes más importante de Asia organizado por la AFC.
El Pohang Steelers de Corea del Sur venció en la final al Dalian Wanda de China para proclamarse campeón por segunda ocasión consecutiva.",¿Quién ganó la Copa de Clubes de Asia 1997-98?
5,[ 0.02434 -0.03226 -0.0617  ...  0.01984  0.02034 -0.02649],"El FC Zhenis es un club de fútbol de Kazajistán de la ciudad de Astaná. Fue fundado en 1946 y jugaba en la Super Liga de Kazajistán hasta 2008 cuando el equipo, al declararse en quiebra, fue relegado a divisiones inferiores. Actualmente juega en la Super Liga de Kazajistán.El Estadio Kazhymukan Munaitpasov (en kazajo: Қажымұқан Мұңайтпасов стадион) es un estadio multiusos ubicado en la ciudad de Astaná, Kazajistán. Se utiliza preferentemente para partidos de fútbol, y es el estadio del FC Zhenis Astana, club que milita en la Liga Premier de Kazajistán, la máxima división del fútbol en Kazajistán. El estadio tiene una capacidad para 12.000 personas[1]​.
El estadio lleva desde 1986 el nombre de Kazhymukan Munaitpasov, un luchador kazajo y artista circense, y repetidas veces campeón mundial de lucha grecorromana[2]​.",¿Cuál es el nombre anterior del actual club de football FC Zhenis?
6,[-0.04758 -0.01575 -0.08215 ... -0.0338  -0.06354 -0.00608],"Petra van Staveren (Kampen, Países Bajos, 2 de junio de 1966)[1]​ es una nadadora neerlandesa retirada especializada en pruebas de estilo braza, donde consiguió ser campeona olímpica en 1984 en los 100 metros.[2]​[3]​Petra es un nombre propio femenino de origen latino. Es el femenino de Pedro, nombre de origen latino que significa 'piedra'. Es un nombre común en Alemania, Croacia, Eslovaquia y República Checa.",¿Por qué es conocida la neerlandesa Petra van Staveren?
7,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],,¿En qué siglos vivió el conde sueco Carl Löwenheim?
8,[-0.09717   0.02037   0.01584  ...  0.03058  -0.01837   0.001424],"Hüffelsheim es un municipio situado en el distrito de Bad Kreuznach, en el estado federado de Renania-Palatinado (Alemania). Su población estimada a finales de 2016 era de 1315 habitantes.[2]​
Se encuentra ubicado en el centro del estado, al oeste de la ciudad de Maguncia —la capital del estado— a poca distancia de la orilla del río Nahe, un afluente del Rin por la izquierda.Bad Kreuznaches un distrito en Renania-Palatinado, Alemania. limita con los distritos de Rin-Hunsrück, Maguncia-Bingen, Alzey-Worms, Donnersberg, Kusel y Birkenfeld.","¿El municipio Hüffelsheim, está ubicado en el este o el oeste de Alemania?"
9,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],,¿En qué continente habita la oropéndola cabecinegra (Oriolus brachyrynchus)?
