,Embedding,Texto,Keywords Pregunta
0,[-0.02986  -0.0064   -0.03687  ... -0.006424 -0.0265    0.002005],,¿En qué continente habita la oropéndola cabecinegra (Oriolus brachyrynchus)?
1,[-0.01978  0.01616 -0.05283 ... -0.01409  0.02647  0.02437],"Shanghái[6]​ (en chino, 上海; pinyin, ; en shanghainés, ) es la ciudad más poblada de China y una de las más pobladas del mundo. Administrativamente, es uno de los cuatro municipios a nivel central. Cuenta con más de 24 millones de habitantes.[7]​ Situada en la China del Este, Shanghái yace en el delta del río Yangtsé, centrada en la costa del mar de la China Oriental y es administrada al máximo nivel con la categoría de municipio de control directo.[8]​
El área donde se sitúa la ciudad fue colonizada y asentada por los refugiados que huían de los mongoles hacia el 960-1126 d. C. Antiguamente se dedicaba a la pesca y textiles pero su importancia creció en el siglo XIX debido a su localización estratégica como puerto de mar, a la imposición occidental de abrirse al tráfico internacional establecida por el Tratado de Nankín en 1842 y a la ocupación de su territorio por medio de la «Concesión Internacional de Shanghái» a favor de catorce potencias extranjeras.[9]​ 
Shanghái fue floreciendo como eje comercial entre China y las potencias coloniales y como nodo financiero y comercial a partir de 1930.[10]​ La población occidental comenzó a abandonar la zona a comienzos de la guerra del Pacífico en 1941 hasta que finalmente, tras la revolución y guerra civil, en 1949 la actividad de Shanghái se redujo considerablemente dejando de recibir inversión extranjera. Con las reformas económicas durante la década de 1990, Shanghái experimentó un espectacular crecimiento financiero y turístico, siendo sede de numerosas empresas multinacionales y vanguardistas rascacielos. Actualmente es el mayor puerto del mundo por volumen de mercancías.[11]​
La ciudad es un destino turístico por sus monumentos como el Bund, el Templo del Dios de la Ciudad, los rascacielos del Pudong y como centro cosmopolita de la cultura y el diseño.[12]​[13]​Actualmente Shanghái es descrita habitualmente como la «pieza estrella» de la economía de mayor crecimiento del mundo[14]​ inmersa en una competición con Cantón y el área urbana del río Perla, por convertirse en la mayor urbe de China.
Administrativamente, Shanghái es una de las cuatro municipalidades de la República Popular China administradas directamente por el gobierno central del país. Shanghái es la capital económica de China. Ocupa una superficie de 6340 km². El dialecto local es el shanghainés, una variedad de chino wu (吳語, wúyǔ).[15]​La gastronomía china (中国飲食 Zhōngguó yǐnshí) es una de las más ricas debido a la antigua tradición culinaria del país, y está muy ampliamente representada en el mundo.[cita requerida] Se puede decir que originariamente procede de diferentes regiones de China, que se ha expandido a otras partes del mundo — desde el sureste de Asia pasando por el continente americano hasta toda Europa. 
La moda china está íntimamente relacionada no solo con la sociedad, sino también con la filosofía y la medicina chinas. Distingue entre el cai (verduras cocinadas y por extensión todo lo que acompaña los cereales) y los cereales en sí, el fan. Los alimentos yin (femeninos) son alimentos tiernos y ricos en agua como las frutas y las verduras, y tienen un efecto refrescante. Los alimentos yang (masculinos) incluyen los platos fritos, especiados y a base de carnes, y sirven para recalentar. Si toda comida tiene que armonizar los sabores, las comidas chinas tienen también que buscar un equilibrio entre lo frío y lo caliente, los colores y la consistencia de los diversos alimentos. Por ello las técnicas culinarias chinas son numerosas y particularmente variadas.
La sucesión de platos tal y como se conoce en los países occidentales es sustituida por la búsqueda del equilibrio entre los cinco sabores básicos (dulce, salado, ácido, amargo y picante). Por ello, los platos con sabor exclusivamente dulce solo se ofrecen al final de los festines dados con motivo de grandes celebraciones. La vista también desempeña un papel importante en la presentación de los platos. Algunos platos se sirven con fines esencialmente terapéuticos, como los nidos de golondrinas o las aletas de tiburones que son ingredientes insípidos. El concepto de la complementariedad entre lo frío y lo caliente, heredado de la medicina china, se toma particularmente en cuenta en la gastronomía del sur de este país.
Existen numerosos estilos regionales, religiosos y étnicos de cocina china dentro y fuera del país. La cocina china es muy diversa y se suele clasificar en divisiones provinciales, aunque estas clasificaciones provinciales constan de muchos más estilos dentro de sí mismas. Las Cuatro Grandes Tradiciones más alabadas de la cocina china son Chuan, Lu, Yue y Huaiyang, que representan las cocinas del oeste, norte, sur y este de China, respectivamente.[1]​ Las ocho cocinas modernas de China son Anhui (徽菜; Huīcài), Guangdong (粤菜; Yuècài), Fujian (闽菜; Mǐncài), Hunan (湘菜; Xiāngcài), Jiangsu (苏菜; Sūcài), Shandong (鲁菜; Lǔcài), Sichuan (川菜; Chuāncài) y Zhejiang (浙菜; Zhècài).[2]​",¿Qué provincia de China al sur de Shanghai es famosa por su cocina ?
2,[-0.02986  -0.0064   -0.03687  ... -0.006424 -0.0265    0.002005],,¿En qué siglos vivió el conde sueco Carl Löwenheim?
3,[-0.05716  -0.01794  -0.0923   ... -0.02025  -0.006622  0.01403 ],"Este artículo trata sobre las Tarjetas flash, para la definición estándar de televisión, véase SD (definición estándar)

Secure Digital (SD) es un dispositivo en formato de tarjeta de memoria para dispositivos portátiles, por ejemplo: cámaras digitales (fotográficas o videograbadoras), teléfonos móviles, teléfonos inteligentes, computadoras portátiles y videoconsolas (de sobremesa y portátiles), tabletas y entre muchos otros. Inicialmente compitió y coexistió con otros formatos, y actualmente es uno de los formatos más comunes y utilizados en dispositivos portátiles y en computadoras y reproductores de música portátiles o domésticos, destacando principalmente por la velocidad a diferencia de sus predecesores.
El estándar SD fue desarrollado por SanDisk, Panasonic y Toshiba, e introducido en 1999 como una mejora evolutiva de las tarjetas MMC. El estándar es mantenido por la Asociación de Tarjetas SD en la que participan varios fabricantes[1]​ y fue implementado en más de 400 marcas de productos, cubriendo docenas de categorías y en más de 8000 modelos.
El formato SD incluye cinco versiones de tarjetas, disponibles en tres tamaños. Las cinco familias son:

“Standard Capacity” (SDSC), la original, «capacidad estándar».
“High Capacity” (SDHC), «alta capacidad».
“Extended Capacity” (SDXC), «capacidad extendida».
“Input/Output” (SDIO), «entrada/salida».
“Ultra Capacity” (SDUC), «Ultra Capacidad».
Los tres tamaños son:

SD estándar original.
miniSD.
microSD.
Este tamaño microSD es muy utilizado en tabletas y teléfonos móviles. Por medio de adaptadores pasivos eléctricamente es posible utilizar tarjetas en ranuras más grandes.
Los dispositivos con ranuras SD pueden utilizar tarjetas MMC, que son más finas, pero las tarjetas SD no caben en las ranuras MMC. Asimismo, se pueden utilizar en las ranuras de CompactFlash o de PC Card con un adaptador. Sus variantes miniSD y microSD se pueden utilizar, también directamente, en ranuras SD mediante un adaptador. Las normales tienen forma de ם. Hay algunas tarjetas SD que tienen un conector USB integrado con un doble propósito, y hay lectores que permiten que las tarjetas SD sean accesibles por medio de muchos puertos de conectividad como USB, FireWire y el puerto paralelo común. Las tarjetas SD también son accesibles mediante una disquetera usando un adaptador FlashPath.",¿Qué significa la abreviatura IOMMU?
4,[-0.03174 -0.03293 -0.01599 ...  0.00511 -0.02713  0.00742],"Chancelor Jonathan Bennett (Chicago, Illinois, 16 de abril de 1993), más conocido por su nombre artístico, Chance the Rapper, es un rapero, cantante, compositor estadounidense, y productor del barrio de West Chatham, Chicago, Illinois.[1]​ 
En 2013 comenzó a obtener reconocimiento luego de la publicación de su segundo mixtape: Acid Rap. Además de su carrera solista, es miembro del colectivo de Chicago SaveMoney (junto a su frecuente colaborador Vic Mensa). Trabajó como vocalista líder para la banda The Social Experiment, que publicó el álbum Surf en mayo de 2015. 
En mayo de 2016, Bennett lanzó su tercer mixtape, Coloring Book para aclamación de la crítica. Por este mixtape ganó tres premios Grammy, incluido el de Mejor Álbum de Rap. Coloring Book fue el primer álbum exclusivamente en streaming que recibió y ganó una nominación al Grammy.[2]​ Su álbum de estudio debut, The Big Day, fue lanzado el 26 de julio de 2019.Acid Rap es el nombre del segundo álbum de estudio del rapero estadounidense Chance the Rapper.[1]​ Acid rap fue lanzado el 30 de abril de 2013 en CD, en forma digital fue lanzado hasta julio de 2013. El álbum debutó en el número 63 en el Top R&B/Hip-Hop Álbumes, por a las descargas de Bootleg en iTunes y Amazon,[2]​ Fue certificado Diamante en Datpiff por obtener más de 1 millón de descargas.[3]​",¿Cuál es el nombre real del rapero conocido como Chance the Rapper?
5,[-0.004265  -0.04736   -0.015236  ...  0.0009737 -0.01227    0.00493  ],"White Collar es una serie de televisión de USA Network creada por Jeff Eastin, protagonizada por Matthew Bomer como el convicto Neal Caffrey y Tim DeKay como el gente especial Peter Burke. Se estrenó el 23 de octubre de 2009. En diciembre de 2009, White Collar fue renovada para una segunda temporada estrenada el 13 de julio de 2010. Hubo un receso hasta enero de 2011.[1]​ El 27 de septiembre de 2010, USA Network renovó White Collar para una tercera temporada con 16 nuevos episodios.[2]​ El 26 de agosto de 2011, se anunció la renovación para una cuarta temporada, nuevamente con 16 episodios.[3]​ La serie fue renovada para una quinta temporada el 25 de septiembre de 2012,[4]​ que se estrenó el 17 de octubre de 2013 y consta de 13 episodios.[5]​[6]​ El 20 de marzo de 2014, la serie fue renovada para una sexta y última temporada de seis episodios,[7]​ que fue estrenada el 6 de noviembre de 2014.[8]​White Collar Blue, es un drama policíaco australiano que comenzó sus transmisiones el 12 de agosto del 2002 por medio de la cadena Network Ten y terminó sus transmisiones el 22 de diciembre del 2003.
La serie siguió a la estación de policía Kingsway, una división de la policía que trabaja en la ciudad de Sídney.
El programa fue creada por Steve Knapman y Kris Wyld, y contó con la participación invitada de actores como Jason Clarke, Lachy Hulme, Grant Bowler, Wil Traval, Brendan Cowell, Anthony Hayes, Toby Schmitz, Ryan Johnson, Tim Campbell, Anna Torv, Wayne Pygram, Matthew Le Nevez, Maeve Dermody, entre otros...",¿Cuántas temporadas tiene la serie de televisión estadounidense White Collar?
6,[ 0.0071   -0.02383  -0.02274  ...  0.001252 -0.04495  -0.003653],"David John Franco (Palo Alto, California; 12 de junio de 1985) es un actor y cineasta estadounidense. Comenzó su carrera con pequeños papeles en películas como Superbad (2007) y Charlie St. Cloud (2010). Después de un papel protagónico en la novena temporada de la serie de comedia Scrubs, Franco tuvo su gran éxito cinematográfico con un papel secundario en la película de comedia de amigos 21 Jump Street (2012). 
Franco también ha protagonizado Fright Night (2011), Now You See Me (2013) y su secuela Now You See Me 2 (2016), Neighbors (2014) y su secuela Neighbors 2: Sorority Rising (2016), Nerve (2016), The Disaster Artist (2017) y Day Shift (2022). En 2020, hizo su debut como director con The Rental, protagonizada por su esposa Alison Brie .James Edward Franco (Palo Alto, California; 19 de abril de 1978) es un actor y director de cine estadounidense.[1]​[2]​
Inició su trabajo interpretativa a finales de la década de 1990, con apariciones en series televisivas como Freaks and Geeks y en películas de adolescentes. En 2001 interpretó el papel de James Dean en la película homónima, actuación que fue premiada con un Globo de Oro al mejor actor de miniserie o telefilme.[3]​
Alcanzó la fama internacional por su papel de Harry Osborn en la primera trilogía de Spider-Man. A partir de entonces, sus participaciones en películas han sido muy variadas, incluyendo la película de guerra The Great Raid (2005), el drama romántico Tristán e Isolda, y la película dramática Annapolis (2006), dirigida por Justin Lin, entre otras. 
En 2008 interpretó a Saul Silver en la comedia Pineapple Express, película que le mereció una nominación a los Premios Globo de Oro en la categoría al mejor actor de comedia o musical. Ese mismo año tuvo un papel importante en la película biográfica Milk, donde interpretó a la pareja del político y activista gay Harvey Milk. 
En 2011 fue nominado a los Premios Óscar por su papel de actor principal en la película 127 horas.[4]​ En 2017, la película The Disaster Artist, producida, dirigida y protagonizada por Franco, fue galardonada con la Concha de Oro del Festival Internacional de Cine de San Sebastián.[5]​ También ganó el Globo de Oro al mejor actor Comedia o musical y estuvo nominada al Oscar al mejor guion adaptado",¿Cuántos premios ha ganado Dave Franco por actuaciones en su carrera como actor?
7,[-0.04126    0.0097    -0.04645   ...  0.0005436 -0.02254   -0.04138  ],"El primer caso de la pandemia de COVID-19 en el Perú fue anunciado el 6 de marzo de 2020,[2]​ y la transmisión comunitaria fue confirmada el 15 de marzo,[3]​ mientras que el primer fallecimiento fue reportado dos días después.[4]​ El brote se extendió a todo el país, con Ucayali siendo el último departamento en reportar su primer caso el 12 de abril.[5]​ En julio de 2020, se confirmó que indígenas sharanahuas en la provincia de Purús habían sido contagiados, convirtiéndose en la última provincia del país en declarar tener presencia infectados.[6]​ Desde finales de abril de 2020, los contagios aumentaron y el Perú se convirtió en el segundo país con más casos en América Latina y el quinto en el mundo.[7]​[8]​ El 26 de agosto de 2020, el Perú alcanzó el mayor índice de mortalidad per cápita y el noveno país con mayor cantidad de muertes totales.[9]​ Con más de 200 000 muertos, el evento fue el más mortífero de la historia del Perú, cobrándose más vidas que la época del terrorismo.[10]​
El 15 de marzo de 2020, el gobierno declaró estado de emergencia y aislamiento social obligatorio a nivel nacional por 15 días,[11]​ lo que se extendió varias veces hasta fines de junio.[12]​ En junio, se cambió la cuarentena general por un aislamiento social focalizado y se flexibilizó la inmovilización social obligatoria.[13]​ Esta medida se extendió varias veces hasta septiembre, con nuevos departamentos y provincias entrando en aislamiento focalizado. En enero de 2021, comenzó la segunda ola, con algunas regiones regresando a la cuarentena total. El 4 de enero de 2022, se oficializó el inicio de la tercera ola, que tuvo picos muy superiores de contagios a comparación de las dos anteriores. El 26 de junio de 2022 se oficializó el inicio de la cuarta ola[14]​ y el 2 de diciembre la quinta ola.[15]​La pandemia de COVID-19, conocida también como pandemia de coronavirus, es una pandemia derivada de la enfermedad causada por el virus SARS-CoV-2.[8]​[9]​ Inicialmente fue llamada «neumonía de Wuhan», puesto que los primeros casos fueron identificados en diciembre de 2019 en la ciudad china de Wuhan,[10]​[11]​ al reportarse casos de un grupo de personas enfermas con un tipo de neumonía desconocida. La mayoría de los afectados tenía vinculación con trabajadores del Mercado mayorista de mariscos de Huanan.[12]​ La Organización Mundial de la Salud (OMS) la declaró una emergencia de salud pública de importancia internacional el 30 de enero de 2020, condición que mantuvo hasta el 5 de mayo de 2023, cuando la OMS decretó el fin de la emergencia sanitaria.[13]​ El curso de la enfermedad se encuentra en endémico, debido a que ya no se reportan casos con tanta frecuencia como en sus primeros años.[14]​
Semanas antes de la declaración del fin de la emergencia de salud pública de importancia internacional, algunos países ya habían iniciado la transición de su enfoque de salud pública hacia la consideración del SARS-CoV-2 como un virus endémico.[15]​[16]​
Para el 8 de agosto de 2023 se habían contabilizado más de 692 millones de casos de la enfermedad en 260 países y territorios, y 6.97 millones de fallecidos. Por otra parte, para enero de 2023 se han alcanzado las 5294 millones de personas vacunadas con al menos una dosis, un 66% de la población mundial. La OMS estima que al menos el 10% de la población mundial ya se había contagiado de esta enfermedad (unas 780 millones de personas infectadas aproximadamente), debido al gran subregistro de casos a nivel mundial.[17]​[18]​
El virus se transmite generalmente de persona a persona a través de pequeñas gotas de saliva, conocidas como gotas de Flügge, que se emiten al hablar, estornudar, toser o respirar.[19]​[20]​[21]​ También está documentada la transmisión por aerosoles (< 5 μm). Se difunde principalmente cuando las personas están en contacto cercano, pero también se puede difundir al tocar una superficie contaminada y luego llevar las manos contaminadas a la cara o las mucosas. Su período de incubación suele ser de cinco días, pero puede variar de dos hasta catorce días.[22]​[23]​ Los síntomas más comunes son fiebre, tos seca y dificultades para respirar.[22]​ Las complicaciones pueden incluir neumonía, síndrome respiratorio agudo o sepsis.[24]​[25]​[26]​ En la Organización Mundial del Comercio (OMC), un grupo de 99 países en vías de desarrollo liderados por India y Sudáfrica, con el apoyo de ONG como Médicos sin Fronteras, pidieron la suspensión temporal de las patentes de las vacunas contra la COVID-19 mientras dure la pandemia. A este pedido se oponen, entre otros países, la mayoría de los miembros de la Unión Europea, Estados Unidos y Brasil.[27]​[28]​[29]​[30]​[31]​
Las medidas de prevención recomendadas incluyen lavarse las manos, cubrirse la boca al toser, el distanciamiento físico entre las personas y el uso de máscaras faciales, además del autoaislamiento y el seguimiento para las personas sospechosas de estar infectadas.[20]​ La edad (> 65 años) así como la presencia de enfermedades crónicas como la diabetes, cardiopatías, enfermedades respiratorias, hipertensión arterial o inmunodeficiencias son factores de riesgo que incrementan la probabilidad de contraer la enfermedad y de llegar a tener complicaciones graves, por lo que se aconseja el confinamiento domiciliario tanto como sea posible.[32]​
Asimismo, se ha confirmado que otros animales —como venados,[33]​ perros, gatos, tigres, leones y murciélagos— pueden contraer COVID-19 al igual que los seres humanos. Aún está en estudio si los animales también deberían tomar las mismas medidas de distanciamiento que los seres humanos para evitar su propagación.[34]​[35]​ Para evitar la expansión del virus, los gobiernos han impuesto restricciones de viajes, cuarentenas, confinamientos, cancelación de eventos y el cierre de establecimientos.[cita requerida]
La pandemia tuvo un efecto socioeconómico disruptivo.[36]​ Durante 2020 y parte de 2021 se cerraron colegios y universidades en más de 124 países, lo que afectó a más de 2200 millones de estudiantes.[37]​ Aproximadamente un tercio de la población mundial fue confinada y se impusieron fuertes restricciones a la libertad de circulación,[38]​ lo cual condujo a una reducción drástica de la actividad económica[39]​ y a un aumento paralelo del desempleo.[40]​ Se han desatado maniobras de desinformación y teorías conspirativas sobre el virus,[41]​[42]​ así como algunos incidentes de xenofobia y racismo contra ciudadanos chinos y de otros países del este y sudeste asiático.[43]​ Debido a la reducción de los viajes y al cierre de numerosas empresas, ha habido un descenso en la contaminación atmosférica.[44]​[45]​
La OMS dio por finalizada la COVID-19 el 5 de mayo de 2023.[46]​ La enfermedad ha seguido circulando, pero a partir de 2024, los expertos no estaban seguros de si seguía siendo una pandemia.[47]​  Las pandemias y sus finales no están bien definidos, y si una ha terminado o no difiere según la definición utilizada. A 27 de octubre de 2024, COVID-19 ha causado 7.071.311 muertes confirmadas. La pandemia COVID-19 es la quinta pandemia o epidemia más mortífera de la historia.",¿Qué relación tienen las protestas en Perú ocurridas a inicios de 2022 con la pandemia del covid-19?
8,[ 3.305e-02  4.208e-02 -7.793e-03 ...  1.508e-05 -8.072e-03  1.276e-02],"Delley-Portalban es una comuna suiza del cantón de Friburgo, situada en el distrito de Broye, a orillas del lago de Neuchâtel. Limita al noreste con la comuna de Vully-les-Lacs (VD), al sur con Saint-Aubin y Vallon, al suroeste con Gletterens, y al oeste con Boudry (FR) y Neuchâtel (NE).
La comuna es el resultado de la fusión en 2005 de las comunas de Delley y Portalban.El distrito de Broye (en francés district de la Broye, en alemán Bezirk Broye) es uno de los nueve distritos del cantón de Friburgo. Tiene una superficie de 173,88 km².
La capital del distrito es la ciudad histórica de Estavayer-le-Lac. El distrito está compuesto actualmente por 31 comunas.",¿En qué cantón suizo se encuentra la comuna de Delley-Portalban?
9,[-0.013435 -0.05597  -0.02861  ... -0.0407    0.0406    0.01039 ],"Jef Raskin (9 de marzo de 1943 - 26 de febrero de 2005) fue un programador y filósofo estadounidense. Diseñador de interfaces de usuario. Conocido principalmente por fundar el proyecto Macintosh para Apple Computer a fines de los años 70 y por los ordenadores Canon Cat de la compañía japonesa Canon.Michael Scott (11 de febrero de 1943)[1]​ fue el segundo director ejecutivo de Apple Computer desde 1976 hasta marzo de 1981. 
Mike Markkula, director de manufactura en National Semiconductor, convenció a Scott para que aceptara la plaza de director ejecutivo en Apple, como los cofundadores Steve Jobs y Steve Wozniak, ninguno era visto adecuado para el trabajo entonces.
Intentando poner un ejemplo para todos los negocios, en 1979 Scott declaró que no habría máquinas de escribir en Apple. En 1979 y 1980, el proyecto Macintosh de Jef Raskin era un esfuerzo de investigación de cuatro personas que no fue considerado importante dentro de Apple, y fue casi cancelado dos o tres veces. Cuando Apple tenía otra reorganización principal en otoño de 1980, le rescindieron el contrato, pero Jef suplicó a Scott y Markkula durante mucho tiempo y le concedieron otros tres meses para mostrar que era bueno en algo.
El 25 de febrero de 1981, día conocido en Apple como el Miércoles Negro, Scott despidió personalmente a 40 empleados de la empresa  incluyendo la mitad del equipo de Apple II, confiando en que ellos eran redundantes. Por la tarde reunió a los empleados restantes con un barril de cerveza y explicó los despidos declarando: ""Solía decir que si no me divertía siendo presidente de Apple, me iría. Pero he cambiado mi forma de pensar - cuando esto no sea divertido, despediré a la gente hasta que esto sea divertido otra vez.""
En 1981, después de este acontecimiento repentino, fue desplazado a vicepresidente, un título con poco poder, y Mike Markkula, el hombre que contrató a Scott, lo sustituyó. Scott dejó oficialmente Apple el 10 de julio de 1981, declarando en su carta de dimisión:

 

A partir de 1983 hasta 1988, Scott condujo Starstruck, una firma privada que intentó crear una lanzadera de cohetes controlada por satélite con base marina. También comenzó a apoyar organizaciones no lucrativas como la Ópera de Seattle y el Instituto de Tecnología de California, en sus esfuerzos para aplicar ordenadores personales a sus necesidades. 
Scott se ha hecho desde entonces un experto en gemas coloreadas, ha escrito un libro sobre ellas y ha montado una colección que ha sido expuesta en el Museo Bowers en Santa Ana. También patrocinó Rruff, un proyecto que crea un set completo de datos espectrales de alta calidad de minerales bien caracterizados.",¿Cuál es el  proyecto es más conocido de Jef Raskin en Apple?
